Id,Folder Path,Sub Search Id,eBay Search Alias,Sub Search Alias,Keywords,Keyword enabled,Search in Description,Price Min,Price Max,Category ID,Condition,Site,Located in,Ships to,Ship Zipcode,Sellers,Include/Exclude,Interval,Listing Type,Filter,View
a1b2c3d4-1111-4444-8888-111111111111,Default,,Gold Fine Jewelry,,,TRUE,FALSE,50,10000,281|3360|4196,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple1
a1b2c3d4-2222-4444-8888-222222222222,Default,,Gold Rings Watches,,,TRUE,FALSE,50,10000,91427|39482|10290,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple1
a1b2c3d4-3333-4444-8888-333333333333,Default,,Gold Scrap Bullion,,,TRUE,FALSE,50,10000,162134|139965|45134,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple1
b1b2c3d4-1111-4444-8888-111111111111,Default,,Silver Jewelry,,,TRUE,FALSE,40,10000,20096|20081|2213,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple2
b1b2c3d4-2222-4444-8888-222222222222,Default,,Silver Flatware,,,TRUE,FALSE,40,10000,37991|37993|20104,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple2
b1b2c3d4-3333-4444-8888-333333333333,Default,,Silver Bullion Coins,,,TRUE,FALSE,40,10000,39487|11116|3361,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple2
c1b2c3d4-1111-4444-8888-111111111111,Default,,Mixed Lots Jewelry,,,TRUE,FALSE,50,10000,262022|262025|110633,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple3
c1b2c3d4-2222-4444-8888-222222222222,Default,,Ethnic Artisan,,,TRUE,FALSE,50,10000,20082|262016|261650,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple3
c1b2c3d4-3333-4444-8888-333333333333,Default,,Costume Jewelry,,,TRUE,FALSE,25,10000,10968|261650|281,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple3
d1b2c3d4-1111-4444-8888-111111111111,Default,,Watches Vintage,,,TRUE,FALSE,75,10000,14324|165144|260325,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple4
d1b2c3d4-2222-4444-8888-222222222222,Default,,Watches Pocket,,,TRUE,FALSE,75,10000,31387|57717|3937,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple4
d1b2c3d4-3333-4444-8888-333333333333,Default,,Watch Parts Gold,,,TRUE,FALSE,75,10000,51020|10290|281,Used,eBay US,Any,US,,,,0:00:00,BuyItNow,,Apple4
