Id,Folder Path,Sub Search Id,eBay Search Alias,Sub Search Alias,Keywords,Keyword enabled,Search in Description,Price Min,Price Max,Category ID,Condition,Site,Located in,Ships to,Ship Zipcode,Sellers,Include/Exclude,Interval,Listing Type,Filter,View
3dabdd6f-2c07-4b0b-8a9c-a9756f565813,Default,,Costume OM,,"Schiaparelli,""Iradj Moini"",""schreiner"",""squash blossom necklace"",faberge",TRUE,FALSE,25,20000,20081|11116|281,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
dce86500-6895-4f3c-90c6-e840d40c83dd,Default,,costume jewelry,,"costume jewelry,buccellati,crown trifari,trifari,hobe necklace,Costume Jewelry Lot,Schiaparelli,""Iradj Moini"",""schreiner"",""squash blossom necklace"",givenchy,""cherry amber"",""estate jewelry"",""turquoise cuff bracelet"",""jewelry lot lbs"",jewelry lot,antique jewelry",TRUE,FALSE,25,100000,262022|262016,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
8e46eb95-eaf2-4b7d-ac9b-497978def75e,Default,,costume 2,,"junk jewelry lot,southwestern lot,old pawn,navajo,zuni,estate sale,bulk jewelry,mixed lot,rhinestone lot,victorian,old mine,georg jensen,antonio pineda,margot de taxco,NETTIE ROSENSTEIN",TRUE,FALSE,25,100000,261650|281,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
eee2cd24-5a1e-4836-950c-361aeca5c641,Default,,costume,,"trifari,costume lot,jewelry lot,cameo lot,bakelite,trifari brooch,trifari bracelet,trifari necklace,vintage brooch lot,signed brooch,rhinestone brooch,enamel brooch,sterling brooch",TRUE,FALSE,25,10000,10968,,eBay US,US,US,,,,0:00:00,BuyItNow,,Apple1
f1ff3c14-8c0e-4b3f-ba40-4bdd24ea0f46,Default,,VideoGames,,"sealed n64,sealed gameboy,sealed game boy,sealed nintendo,sealed snes,sealed nes,new sealed game,factory sealed game,nintendo sealed,n64 sealed,gameboy color sealed,gbc sealed,gba sealed,sealed gamecube,sealed accessory,sealed controller,mint n64,mint gameboy,video game lot,nintendo lot,game collection",TRUE,FALSE,50,10000,139973|139971|54968,,eBay US,US,US,,,,0:00:00,BuyItNow,,Apple1
32b3c0f4-9ca6-4e05-a7ca-b5e4b6075c72,Default,,Lego,,"lego star wars lot,lego star wars sealed,retired lego star wars,lego ucs sealed,vintage lego,lego lot sealed,lego castle,lego pirate,lego space,lego train,legoland,lego 7672,lego 7675,lego 7676,lego 7662,lego 6075,lego 6080,lego 6090",TRUE,FALSE,75,10000,19006,,eBay US,US,US,,,,0:00:00,BuyItNow,,Apple2
04f3dcb2-ca80-453f-b4d0-110e6d93acb8,Default,,Sealed TCG,,"booster box,elite trainer box,etb sealed,booster case,sealed case,booster box lot,pokemon sealed lot,mtg sealed lot,tcg lot sealed,japanese booster box,premium collection box,collection box sealed,build battle stadium,ultra premium collection,one piece booster box",TRUE,FALSE,50,10000,261337|261044|261045,,eBay US,US,US,,,,0:00:00,BuyItNow,,Apple2
04f3dcb2-ca80-453f-b4d0-110e6d93acb8,Default,735f3f75-1301-441a-b0c4-8d8d4ae66365,Sealed TCG,New Sub Search,"special collection sealed,display box sealed,pokemon box sealed,mtg box sealed,yugioh box sealed,lorcana box sealed,one piece tcg sealed,romance dawn,paramount war,one piece op01,one piece op02,awakening new era,wings captain,pillars strength",TRUE,FALSE,50,10000,261337|261044|261045,,,,,,,,,,,
04f3dcb2-ca80-453f-b4d0-110e6d93acb8,Default,4df23310-2a20-4faf-9019-593948e9a445,Sealed TCG,New Sub Search (1),"booster box,elite trainer box,etb sealed,booster case,sealed case,booster box lot,pokemon sealed lot,mtg sealed lot,tcg lot sealed,japanese booster box,premium collection box,collection box sealed,build battle stadium,ultra premium collection,one piece booster box",TRUE,FALSE,50,10000,261337|261044|261045,,,,,,,,,,,
04f3dcb2-ca80-453f-b4d0-110e6d93acb8,Default,611d3604-6304-4416-9d5e-253773ceb1af,Sealed TCG,Vintage Pokemon Packs,"base set pack,jungle pack,fossil pack,team rocket pack,neo genesis pack,neo discovery pack,neo revelation pack,neo destiny pack,gym heroes pack,gym challenge pack,legendary collection pack,expedition pack,aquapolis pack,skyridge pack,heavy pack,heavy booster,heavy pokemon,wotc pack,wotc booster,vintage pokemon pack,1st edition pack,first edition pack,shadowless pack",TRUE,FALSE,50,10000,183456,,,,,,,,,,,
